Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
Shetland Islands,Council Area,Overseas In Migration,Flow,2015,Mid-Year,Count,90,3.879310345
South Ayrshire,Council Area,Overseas In Migration,Flow,2015,Mid-Year,Count,250,2.224199288
South Lanarkshire,Council Area,Overseas In Migration,Flow,2015,Mid-Year,Count,450,1.423014894
Stirling,Council Area,Overseas In Migration,Flow,2015,Mid-Year,Count,1030,11.09555101
Tayside,Health Board,Overseas In Migration,Flow,2015,Mid-Year,Count,2630,6.336738628
West Dunbartonshire,Council Area,Overseas In Migration,Flow,2015,Mid-Year,Count,120,1.339435205
West Lothian,Council Area,Overseas In Migration,Flow,2015,Mid-Year,Count,560,3.136376365
Western Isles,Health Board,Overseas In Migration,Flow,2015,Mid-Year,Count,60,2.216475803
Aberdeen City,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,4160,18.09954751
Aberdeenshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,980,3.737747435
Angus,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,350,3.003776176
Argyll and Bute,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,350,4.016986113
Ayrshire and Arran,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,550,1.484240069
Borders,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,320,2.794027766
City of Edinburgh,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,10470,20.64396553
Clackmannanshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,160,3.11587147
Dumfries and Galloway,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,340,2.273943285
Dumfries and Galloway,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,340,2.273943285
Dundee City,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,1440,9.71201187
East Ayrshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,110,0.900163666
East Dunbartonshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,190,1.766784452
East Lothian,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,460,4.41925257
East Renfrewshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,180,1.918771986
Falkirk,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,380,2.384238926
Fife,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,2050,5.535603381
Fife,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,2050,5.535603381
Forth Valley,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,1360,4.466631634
Glasgow City,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,11460,18.63202562
Grampian,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,5460,9.284135351
Greater Glasgow and Clyde,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,12960,11.15923435
Highland,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,920,3.918728969
Highland,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,1270,3.945324635
Inverclyde,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,130,1.642243557
Lanarkshire,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,1380,2.102088379
Lothian,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,11790,13.39772727
Midlothian,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,210,2.369935673
Moray,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,320,3.330904549
Na h-Eileanan Siar,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,70,2.602230483
North Ayrshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,180,1.32460078
North Lanarkshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,740,2.180382451
Orkney,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,50,2.288329519
Orkney Islands,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,50,2.288329519
Perth and Kinross,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,940,6.238385984
Renfrewshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,800,4.547263116
SCOTLAND,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,40400,7.474975484
SCOTLAND,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,40400,7.474975484
Scottish Borders,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,320,2.794027766
Shetland,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,90,3.879310345
Shetland Islands,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,90,3.879310345
South Ayrshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,260,2.311727572
South Lanarkshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,640,2.01829076
Stirling,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,820,8.746666667
Tayside,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,2720,6.546802417
West Dunbartonshire,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,190,2.114400178
West Lothian,Council Area,Overseas In Migration,Flow,2016,Mid-Year,Count,660,3.66402043
Western Isles,Health Board,Overseas In Migration,Flow,2016,Mid-Year,Count,70,2.602230483
Aberdeen City,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,3180,13.8986014
Aberdeenshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,760,2.902979374
Angus,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,300,2.57997936
Argyll and Bute,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,300,3.455823062
Ayrshire and Arran,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,540,1.457844011
Borders,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,260,2.260476439
City of Edinburgh,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,8540,16.64036165
Clackmannanshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,170,3.304178814
Dumfries and Galloway,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,240,1.608579088
Dumfries and Galloway,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,240,1.608579088
Dundee City,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,1180,7.934906866
East Ayrshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,110,0.902082992
East Dunbartonshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,140,1.294737816
East Lothian,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,350,3.33842045
East Renfrewshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,130,1.371886872
Falkirk,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,380,2.373071879
Fife,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,1680,4.523303088
Fife,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,1680,4.523303088
Forth Valley,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,1160,3.796059952
Glasgow City,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,9710,15.63556729
Grampian,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,4140,7.060268086
Greater Glasgow and Clyde,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,10840,9.272010333
Highland,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,730,3.104005443
Highland,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,1030,3.198857107
Inverclyde,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,100,1.269680041
Lanarkshire,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,1110,1.686596873
Lothian,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,9570,10.75945809
Midlothian,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,160,1.776001776
Moray,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,200,2.088118605
Na h-Eileanan Siar,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,60,2.226345083
North Ayrshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,180,1.325576257
North Lanarkshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,580,1.706083069
Orkney,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,50,2.272727273
Orkney Islands,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,50,2.272727273
Perth and Kinross,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,700,4.63269358
Renfrewshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,630,3.562743878
SCOTLAND,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,32900,6.064739714
SCOTLAND,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,32900,6.064739714
Scottish Borders,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,260,2.260476439
Shetland,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,50,2.166377816
Shetland Islands,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,50,2.166377816
South Ayrshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,250,2.218672346
South Lanarkshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,520,1.634346419
Stirling,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,600,6.382978723
Tayside,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,2190,5.263284386
West Dunbartonshire,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,140,1.562325633
West Lothian,Council Area,Overseas In Migration,Flow,2017,Mid-Year,Count,520,2.868016105
Western Isles,Health Board,Overseas In Migration,Flow,2017,Mid-Year,Count,60,2.226345083
Aberdeen City,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,2980,13.09544735
Aberdeenshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,600,2.294718323
Angus,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,220,1.895897966
Argyll and Bute,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,300,3.47785764
Ayrshire and Arran,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,480,1.298455379
Borders,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,250,2.168821029
City of Edinburgh,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,9000,17.35776278
Clackmannanshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,110,2.140077821
Dumfries and Galloway,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,260,1.747429263
Dumfries and Galloway,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,260,1.747429263
Dundee City,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,1320,8.87394958
East Ayrshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,110,0.902823375
East Dunbartonshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,100,0.923105326
East Lothian,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,420,3.970129502
East Renfrewshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,100,1.050751287
Falkirk,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,330,2.058126481
Fife,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,1570,4.221451426
Fife,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,1570,4.221451426
Forth Valley,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,1070,3.495932303
Glasgow City,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,9970,15.91609329
Grampian,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,3800,6.500727055
Greater Glasgow and Clyde,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,10990,9.353350695
Highland,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,750,3.18417254
Highland,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,1050,3.262896209
Inverclyde,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,80,1.023672425
Lanarkshire,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,930,1.410800971
Lothian,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,10170,11.32806844
Midlothian,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,190,2.080140136
Moray,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,220,2.30318258
Na h-Eileanan Siar,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,50,1.863585539
North Ayrshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,160,1.182732111
North Lanarkshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,480,1.411017697
Orkney,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,50,2.253267237
Orkney Islands,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,50,2.253267237
Perth and Kinross,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,680,4.494679093
Renfrewshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,640,3.599752517
SCOTLAND,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,32900,6.049907137
SCOTLAND,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,32900,6.049907137
Scottish Borders,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,250,2.168821029
Shetland,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,60,2.609830361
Shetland Islands,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,60,2.609830361
South Ayrshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,210,1.865837406
South Lanarkshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,450,1.41056987
Stirling,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,630,6.678681225
Tayside,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,2210,5.311478562
West Dunbartonshire,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,100,1.121956692
West Lothian,Council Area,Overseas In Migration,Flow,2018,Mid-Year,Count,560,3.074558032
Western Isles,Health Board,Overseas In Migration,Flow,2018,Mid-Year,Count,50,1.863585539
Aberdeen City,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,870,4.18631508
Aberdeenshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,130,0.553922195
Angus,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-110,-0.99845693
Argyll and Bute,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-100,-1.103996467
Ayrshire and Arran,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-470,-1.275267942
Borders,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-60,-0.548195523
City of Edinburgh,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,3040,6.818130845
Clackmannanshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-50,-1.027115859
Dumfries and Galloway,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-260,-1.748486886
Dumfries and Galloway,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-260,-1.748486886
Dundee City,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,110,0.768693222
East Ayrshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-130,-1.081440812
East Dunbartonshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-190,-1.783367749
East Lothian,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-50,-0.54247586
East Renfrewshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-140,-1.559193674
Falkirk,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,70,0.472016183
Fife,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,90,0.254921399
Fife,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,90,0.254921399
Forth Valley,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,90,0.317013033
Glasgow City,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,1100,1.931315401
Grampian,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,920,1.729680949
Greater Glasgow and Clyde,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,620,0.557548943
Highland,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,10,0.04660701
Highland,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-100,-0.327718424
Inverclyde,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-180,-2.176804934
Lanarkshire,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-640,-1.01416664
Lothian,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,2880,3.683759481
Midlothian,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-20,-0.24928331
Moray,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-80,-0.895054822
Na h-Eileanan Siar,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-40,-1.500938086
North Ayrshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-140,-1.025641026
North Lanarkshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-330,-1.014136447
Orkney,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-20,-1.008572869
Orkney Islands,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-20,-1.008572869
Perth and Kinross,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,110,0.803506209
Renfrewshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,190,1.108065551
SCOTLAND,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,3100,0.609720119
SCOTLAND,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,3100,0.609720119
Scottish Borders,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-60,-0.548195523
Shetland,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-20,-0.905387053
Shetland Islands,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-20,-0.905387053
South Ayrshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-200,-1.788268956
South Lanarkshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-370,-1.210495322
Stirling,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,70,0.805338242
Tayside,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,110,0.28192839
West Dunbartonshire,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-100,-1.087429317
West Lothian,Council Area,Overseas Net Migration,Flow,2004,Mid-Year,Count,-100,-0.6114712
Western Isles,Health Board,Overseas Net Migration,Flow,2004,Mid-Year,Count,-40,-1.500938086
Aberdeen City,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,2150,10.30236236
Aberdeenshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,620,2.609757124
Angus,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,130,1.167594755
Argyll and Bute,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-100,-1.106929378
Ayrshire and Arran,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,-320,-0.867208672
Borders,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,110,0.997732426
City of Edinburgh,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,5220,11.61367833
Clackmannanshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,10,0.203417413
Dumfries and Galloway,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-80,-0.534687876
Dumfries and Galloway,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,-80,-0.534687876
Dundee City,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,720,5.013927577
East Ayrshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-90,-0.748254074
East Dunbartonshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-40,-0.377216145
East Lothian,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,0,0
East Renfrewshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-80,-0.890075656
Falkirk,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,250,1.665223473
Fife,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,790,2.222472289
Fife,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,790,2.222472289
Forth Valley,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,400,1.394700139
Glasgow City,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,1490,2.617479139
Grampian,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,2840,5.294951152
Greater Glasgow and Clyde,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,1510,1.359368389
Highland,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,620,2.84325415
Highland,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,520,1.68612192
Inverclyde,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,120,1.45137881
Lanarkshire,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,-210,-0.331235508
Lothian,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,5380,6.833828722
Midlothian,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-20,-0.249843848
Moray,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,70,0.776914539
Na h-Eileanan Siar,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-10,-0.371333086
North Ayrshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-190,-1.390006584
North Lanarkshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-20,-0.061135905
Orkney,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,-30,-1.494768311
Orkney Islands,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-30,-1.494768311
Perth and Kinross,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,1070,7.750253513
Renfrewshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,160,0.933325556
SCOTLAND,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,12800,2.504794333
SCOTLAND,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,12800,2.504794333
Scottish Borders,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,110,0.997732426
Shetland,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,0,0
Shetland Islands,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,0,0
South Ayrshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-50,-0.446309024
South Lanarkshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-250,-0.814730324
Stirling,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,140,1.599817164
Tayside,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,1910,4.860050891
West Dunbartonshire,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,-80,-0.874030373
West Lothian,Council Area,Overseas Net Migration,Flow,2005,Mid-Year,Count,180,1.090842979
Western Isles,Health Board,Overseas Net Migration,Flow,2005,Mid-Year,Count,-10,-0.371333086
Aberdeen City,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,2140,10.20846253
Aberdeenshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,660,2.736545319
Angus,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,140,1.244444444
Argyll and Bute,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-110,-1.210653753
Ayrshire and Arran,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,-560,-1.516259172
Borders,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,10,0.090203861
City of Edinburgh,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,4110,9.092115742
Clackmannanshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,10,0.201857085
Dumfries and Galloway,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-120,-0.80122855
Dumfries and Galloway,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,-120,-0.80122855
Dundee City,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,690,4.813058036
East Ayrshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-190,-1.577548987
East Dunbartonshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-190,-1.799412823
East Lothian,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,40,0.42621204
East Renfrewshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-130,-1.448467967
Falkirk,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,70,0.46330002
Fife,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,270,0.755752113
Fife,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,270,0.755752113
Forth Valley,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,260,0.900526462
Glasgow City,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,1070,1.882278436
Grampian,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,2820,5.206890821
Greater Glasgow and Clyde,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,670,0.604256854
Highland,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,460,2.083522058
Highland,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,350,1.123090746
Inverclyde,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,0,0
Lanarkshire,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,-180,-0.282490309
Lothian,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,4670,5.889103267
Midlothian,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,0,0
Moray,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,20,0.220312844
Na h-Eileanan Siar,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-10,-0.36954915
North Ayrshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-280,-2.046933255
North Lanarkshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-30,-0.091257529
Orkney,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,-30,-1.474926254
Orkney Islands,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-30,-1.474926254
Perth and Kinross,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,970,6.959391591
Renfrewshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,80,0.467098733
SCOTLAND,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,9900,1.928696669
SCOTLAND,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,9900,1.928696669
Scottish Borders,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,10,0.090203861
Shetland,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,-40,-1.800990545
Shetland Islands,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-40,-1.800990545
South Ayrshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-90,-0.802854594
South Lanarkshire,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,-200,-0.648403307
Stirling,Council Area,Overseas Net Migration,Flow,2006,Mid-Year,Count,180,2.043364741
Tayside,Health Board,Overseas Net Migration,Flow,2006,Mid-Year,Count,1790,4.528893837
