Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,250,1.458321181
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,13900,2.720050096
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,160,1.451247166
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,30,1.348314607
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,120,1.071141658
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,290,0.945087176
Stirling,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,250,2.856816364
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,80,0.874030373
West Lothian,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,170,1.030240591
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,2030,9.683728474
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,260,1.078033004
Angus,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,80,0.711111111
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,200,2.201188642
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,4250,9.401822848
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,40,0.807428341
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,0.667690459
Dundee City,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,610,4.255022321
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,50,0.41514447
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,110,1.041765319
East Lothian,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,1.065530101
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,1.114206128
Falkirk,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,130,0.860414323
Fife,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,390,1.091641941
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,3150,5.541286986
Highland,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,390,1.766464354
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,50,0.607385811
Midlothian,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,90,1.125140643
Moray,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,60,0.660938533
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,20,0.7390983
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,60,0.438628555
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,230,0.699641054
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,10,0.491642085
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,340,2.439374372
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,300,1.751620249
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,14230,2.772257939
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,140,1.26285405
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,20,0.900495272
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,0.89206066
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,250,0.810504134
Stirling,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,250,2.838006584
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,1.093972213
West Lothian,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,250,1.496020585
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,2610,12.28408717
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,330,1.350300749
Angus,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,140,1.233045623
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,200,2.20288578
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,4920,10.78852732
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,30,0.592885375
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,130,0.864534149
Dundee City,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,790,5.49756437
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,50,0.413393964
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,130,1.23750595
East Lothian,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,120,1.25562415
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,110,1.224398931
Falkirk,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,140,0.919117647
Fife,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,540,1.50526844
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,4830,8.447600392
Highland,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,450,2.008928571
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,80,0.974302765
Midlothian,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,70,0.870971756
Moray,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,60,0.656167979
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,30,1.102535832
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,80,0.582156891
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,330,0.996497161
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,10,0.485908649
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,440,3.117472014
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,410,2.385523943
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,18280,3.535783366
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,150,1.336898396
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,20,0.894854586
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,120,1.067805659
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,280,0.902149048
Stirling,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,340,3.844849033
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,100,1.094451133
West Lothian,Council Area,Total Non-EU Registrations,NINo,2007,Calendar,Count,240,1.416179855
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,2280,10.65320998
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,270,1.093870275
Angus,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,80,0.698750983
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,150,1.668335002
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,4280,9.33438018
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,30,0.586051963
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,90,0.595987021
Dundee City,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,710,4.920645921
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,40,0.328947368
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,90,0.857632933
East Lothian,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,200,2.051702913
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,60,0.667631023
Falkirk,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,120,0.78282993
Fife,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,470,1.30541051
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,4600,7.983339118
Highland,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,350,1.542054016
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,60,0.731707317
Midlothian,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,60,0.735744942
Moray,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,60,0.646273158
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,20,0.73313783
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,60,0.435066348
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,210,0.630100816
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,20,0.964320154
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,300,2.095996646
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,280,1.621872104
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,15930,3.061754022
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,130,1.146788991
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,30,1.334519573
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,100,0.888020602
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,200,0.642446436
Stirling,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,330,3.727128981
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,50,0.548305735
West Lothian,Council Area,Total Non-EU Registrations,NINo,2008,Calendar,Count,210,1.225275687
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,2350,10.82849507
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,250,1.003935427
Angus,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,60,0.522511539
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,190,2.124091671
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,4720,10.1893228
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,30,0.584909339
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,100,0.661550675
Dundee City,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,790,5.441895708
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,50,0.409466874
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,70,0.666920732
East Lothian,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,160,1.627008338
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,70,0.777950656
Falkirk,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,100,0.648466377
Fife,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,500,1.383432018
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,4740,8.149650975
Highland,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,320,1.398907104
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,30,0.367331946
Midlothian,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,60,0.732600733
Moray,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,50,0.536711035
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,10,0.364697301
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,90,0.652978307
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,200,0.59672992
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,10,0.477554919
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,410,2.839925192
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,270,1.560513235
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,16690,3.190045681
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,120,1.056431024
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,30,1.315789474
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,120,1.06676149
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,210,0.672688833
Stirling,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,330,3.720825347
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,80,0.878348704
West Lothian,Council Area,Total Non-EU Registrations,NINo,2009,Calendar,Count,220,1.271382339
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,1880,8.555955036
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,230,0.91476753
Angus,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,60,0.519885625
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,80,0.902730761
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,4150,8.831102505
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,20,0.389635691
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,90,0.595632032
Dundee City,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,760,5.203341093
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,30,0.245078017
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,90,0.857796416
East Lothian,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,150,1.513011902
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,60,0.663643402
Falkirk,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,110,0.709082705
Fife,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,550,1.516781115
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,5110,8.712702472
Highland,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,210,0.910154726
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,50,0.613421666
Midlothian,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,80,0.971345313
Moray,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,50,0.533674885
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,20,0.724637681
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,70,0.507982583
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,170,0.505531105
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2010,Calendar,Count,20,0.942507069
